Date,BTC_Price
01/01/2022,47722.65
01/02/2022,47286.18
01/03/2022,46446.1
01/04/2022,45832.01
01/05/2022,43451.13
01/06/2022,43082.31
01/07/2022,41566.48
01/08/2022,41679.74
01/09/2022,41864.62
01/10/2022,41822.49
01/11/2022,42729.29
01/12/2022,43902.66
01/13/2022,42560.11
01/14/2022,43059.96
01/15/2022,43084.29
01/16/2022,43071.66
01/17/2022,42201.62
01/18/2022,42352.12
01/19/2022,41660.01
01/20/2022,40680.91
01/21/2022,36445.31
01/22/2022,35071.42
01/23/2022,36244.55
01/24/2022,36660.35
01/25/2022,36958.32
01/26/2022,36809.34
01/27/2022,37160.1
01/28/2022,37716.56
01/29/2022,38166.84
01/30/2022,37881.76
01/31/2022,38466.9
02/01/2022,38694.59
02/02/2022,36896.36
02/03/2022,37311.61
02/04/2022,41574.25
02/05/2022,41382.59
02/06/2022,42380.87
02/07/2022,43839.99
02/08/2022,44042.99
02/09/2022,44372.72
02/10/2022,43495.44
02/11/2022,42373.73
02/12/2022,42217.87
02/13/2022,42053.66
02/14/2022,42535.94
02/15/2022,44544.86
02/16/2022,43873.56
02/17/2022,40515.7
02/18/2022,39974.44
02/19/2022,40079.17
02/20/2022,38386.89
02/21/2022,37008.16
02/22/2022,38230.33
02/23/2022,37250.01
02/24/2022,38327.21
02/25/2022,39219.17
02/26/2022,39116.72
02/27/2022,37699.07
02/28/2022,43160.0
03/01/2022,44421.2
03/02/2022,43892.98
03/03/2022,42454.0
03/04/2022,39148.66
03/05/2022,39397.96
03/06/2022,38420.81
03/07/2022,37988.0
03/08/2022,38730.63
03/09/2022,41941.71
03/10/2022,39422.0
03/11/2022,38729.57
03/12/2022,38807.36
03/13/2022,37777.34
03/14/2022,39671.37
03/15/2022,39280.33
03/16/2022,41114.0
03/17/2022,40917.9
03/18/2022,41757.51
03/19/2022,42201.13
03/20/2022,41262.11
03/21/2022,41002.25
03/22/2022,42364.13
03/23/2022,42882.76
03/24/2022,43991.46
03/25/2022,44313.16
03/26/2022,44511.27
03/27/2022,46827.76
03/28/2022,47122.21
03/29/2022,47434.8
03/30/2022,47067.99
03/31/2022,45510.34
04/01/2022,46283.49
04/02/2022,45811.0
04/03/2022,46407.35
04/04/2022,46580.51
04/05/2022,45497.55
04/06/2022,43170.47
04/07/2022,43444.19
04/08/2022,42252.01
04/09/2022,42753.97
04/10/2022,42158.85
04/11/2022,39530.45
04/12/2022,40074.94
04/13/2022,41147.79
04/14/2022,39942.38
04/15/2022,40551.9
04/16/2022,40378.71
04/17/2022,39678.12
04/18/2022,40801.13
04/19/2022,41493.18
04/20/2022,41358.19
04/21/2022,40480.01
04/22/2022,39709.18
04/23/2022,39441.6
04/24/2022,39450.13
04/25/2022,40426.08
04/26/2022,38112.65
04/27/2022,39235.72
04/28/2022,39742.07
04/29/2022,38596.11
04/30/2022,37630.8
05/01/2022,38468.35
05/02/2022,38525.16
05/03/2022,37728.95
05/04/2022,39690.0
05/05/2022,36552.97
05/06/2022,36013.77
05/07/2022,35472.39
05/08/2022,34038.4
05/09/2022,30076.31
05/10/2022,31017.1
05/11/2022,29103.94
05/12/2022,29029.75
05/13/2022,29287.05
05/14/2022,30086.74
05/15/2022,31328.89
05/16/2022,29874.01
05/17/2022,30444.93
05/18/2022,28715.32
05/19/2022,30319.23
05/20/2022,29201.01
05/21/2022,29445.06
05/22/2022,30293.94
05/23/2022,29109.15
05/24/2022,29654.58
05/25/2022,29542.15
05/26/2022,29201.35
05/27/2022,28629.8
05/28/2022,29031.33
05/29/2022,29468.1
05/30/2022,31734.22
05/31/2022,31801.04
06/01/2022,29805.83
06/02/2022,30452.62
06/03/2022,29700.21
06/04/2022,29864.04
06/05/2022,29919.21
06/06/2022,31373.1
06/07/2022,31125.33
06/08/2022,30204.77
06/09/2022,30109.93
06/10/2022,29091.88
06/11/2022,28424.7
06/12/2022,26574.53
06/13/2022,22487.41
06/14/2022,22136.41
06/15/2022,22583.72
06/16/2022,20401.31
06/17/2022,20468.81
06/18/2022,18970.79
06/19/2022,20574.0
06/20/2022,20573.89
06/21/2022,20723.52
06/22/2022,19987.99
06/23/2022,21110.13
06/24/2022,21237.69
06/25/2022,21491.19
06/26/2022,21038.07
06/27/2022,20742.56
06/28/2022,20281.29
06/29/2022,20123.01
06/30/2022,19942.21
07/01/2022,19279.8
07/02/2022,19252.81
07/03/2022,19315.83
07/04/2022,20236.71
07/05/2022,20175.83
07/06/2022,20564.51
07/07/2022,21624.98
07/08/2022,21594.75
07/09/2022,21591.83
07/10/2022,20862.47
07/11/2022,19963.61
07/12/2022,19328.75
07/13/2022,20234.87
07/14/2022,20588.84
07/15/2022,20830.04
07/16/2022,21195.6
07/17/2022,20798.16
07/18/2022,22432.58
