post,sentiment,url,published_date,published_time
"Bitcoin vs. Gold: Peter Schiff, CZ Face Off on Store-of-Value Merits in Dubai",neutral,https://cryptopanic.com/news/27714499/Bitcoin-vs-Gold-Peter-Schiff-CZ-Face-Off-on-Store-of-Value-Merits-in-Dubai?mtm_campaign=API-OFA,06/12/2025,12:38:00
"Another $BTC long-vs-short showdown is heating up!

0x50b3 opened a 20x long on 307 $BTC($27.5M) at an entry of $89,642.7
Liquidation: $83,385

0x9311 opened a 40x short on 223.4 $BTC($20M) at an entry of $89,502.7
Liquidation: $95,114",neutral,https://cryptopanic.com/news/27713547/Another-BTC-long-vs-short-showdown-is-heating-up-0x50b3-opened-a-20x-long-on-307-BTC275M-at-an-entry-of-896427-Liquidation-83385-0x9311-opened-a-40x-short-on-2234-BTC20M-at-an-entry-of-895027-Liquidation-95114?mtm_campaign=API-OFA,06/12/2025,11:43:05
Why BlackRock’s $125M Bitcoin move has BTC traders on edge,neutral,https://cryptopanic.com/news/27712641/Why-BlackRocks-125M-Bitcoin-move-has-BTC-traders-on-edge?mtm_campaign=API-OFA,06/12/2025,11:00:02
Market Expert Says Bitcoin Still Hasn’t Proven It Works Like Gold,neutral,https://cryptopanic.com/news/27713023/Market-Expert-Says-Bitcoin-Still-Hasnt-Proven-It-Works-Like-Gold?mtm_campaign=API-OFA,06/12/2025,11:05:07
French Bank BPCE Targets 2025 for Crypto Services Launch,neutral,https://cryptopanic.com/news/27712855/French-Bank-BPCE-Targets-2025-for-Crypto-Services-Launch?mtm_campaign=API-OFA,06/12/2025,11:05:25
Is SpaceX really selling its Bitcoins? Between FUD and On-Chain Data,neutral,https://cryptopanic.com/news/27713229/Is-SpaceX-really-selling-its-Bitcoins-Between-FUD-and-On-Chain-Data?mtm_campaign=API-OFA,06/12/2025,11:11:59
Strategy’s Bitcoin Slowdown Sparks Bear Market Fears as Mono Protocol Gains Investor Attention,neutral,https://cryptopanic.com/news/27713357/Strategys-Bitcoin-Slowdown-Sparks-Bear-Market-Fears-as-Mono-Protocol-Gains-Investor-Attention?mtm_campaign=API-OFA,06/12/2025,11:15:08
Indiana lawmaker calls for BTC inclusion in pensions,neutral,https://cryptopanic.com/news/27713470/Indiana-lawmaker-calls-for-BTC-inclusion-in-pensions?mtm_campaign=API-OFA,06/12/2025,11:15:43
Two Dormant Casascius Coins Unlock $179M in Bitcoin,neutral,https://cryptopanic.com/news/27713384/Two-Dormant-Casascius-Coins-Unlock-179M-in-Bitcoin?mtm_campaign=API-OFA,06/12/2025,11:15:45
Coinbase Makes Bold Bitcoin Prediction For December Despite Market Downturn,neutral,https://cryptopanic.com/news/27713597/Coinbase-Makes-Bold-Bitcoin-Prediction-For-December-Despite-Market-Downturn?mtm_campaign=API-OFA,06/12/2025,11:32:24
"Coinpedia Digest: This Week’s Crypto News Highlights | 6th December, 2025",neutral,https://cryptopanic.com/news/27714506/Coinpedia-Digest-This-Weeks-Crypto-News-Highlights-6th-December-2025?mtm_campaign=API-OFA,06/12/2025,11:44:48
Coinbase Says Crypto Could Be Entering a December Recovery Phase,neutral,https://cryptopanic.com/news/27715029/Coinbase-Says-Crypto-Could-Be-Entering-a-December-Recovery-Phase?mtm_campaign=API-OFA,06/12/2025,12:30:07
Galaxy Says Crypto DAT Firms Are Entering A “Darwinian Phase” As Premiums Expire,neutral,https://cryptopanic.com/news/27713563/Galaxy-Says-Crypto-DAT-Firms-Are-Entering-A-Darwinian-Phase-As-Premiums-Expire?mtm_campaign=API-OFA,06/12/2025,11:45:14
Bitcoin Price Prediction: Year-End $100K Target Alive – Here Are the Three Drivers That Matter,neutral,https://cryptopanic.com/news/27713580/Bitcoin-Price-Prediction-Year-End-100K-Target-Alive-Here-Are-the-Three-Drivers-That-Matter?mtm_campaign=API-OFA,06/12/2025,11:52:35
Bitcoin Miners Face Historic Profitability Squeeze as Revenue Falls Below Costs,neutral,https://cryptopanic.com/news/27714073/Bitcoin-Miners-Face-Historic-Profitability-Squeeze-as-Revenue-Falls-Below-Costs?mtm_campaign=API-OFA,06/12/2025,12:00:00
Bitcoin Settles In Consolidation Zone – Levels To Watch,neutral,https://cryptopanic.com/news/27713652/Bitcoin-Settles-In-Consolidation-Zone-Levels-To-Watch?mtm_campaign=API-OFA,06/12/2025,12:00:03
Bitcoin Price Outlook: Experts Say Bottom Is Near but One More Dip Possible,neutral,https://cryptopanic.com/news/27713828/Bitcoin-Price-Outlook-Experts-Say-Bottom-Is-Near-but-One-More-Dip-Possible?mtm_campaign=API-OFA,06/12/2025,12:00:59
"$BTC From a liquidity perspective, the levels to watch in the week ahead are $84K &amp; $94K.

Price is currently right in the middle of the two and the range that was created between those levels this week.

Above 94K makes another higher high and should lead us back close to the",neutral,https://cryptopanic.com/news/27713938/BTC-From-a-liquidity-perspective-the-levels-to-watch-in-the-week-ahead-are-84K-amp-94K-Price-is-currently-right-in-the-middle-of-the-two-and-the-range-that-was-created-between-those-levels-this-week-Above-94K-makes-another-higher-high-and-should-lead-us-back-close-to-the?mtm_campaign=API-OFA,06/12/2025,12:02:00
Bitcoin Transfers Involving Anonymous Addresses and Cumberland DRW,neutral,https://cryptopanic.com/news/27723895/Bitcoin-Transfers-Involving-Anonymous-Addresses-and-Cumberland-DRW?mtm_campaign=API-OFA,06/12/2025,12:23:34
Best Crypto to Buy Now: Why Maxi Doge Could Explode in 2025,neutral,https://cryptopanic.com/news/27714998/Best-Crypto-to-Buy-Now-Why-Maxi-Doge-Could-Explode-in-2025?mtm_campaign=API-OFA,06/12/2025,12:27:48
Bitcoin Faces Weekend Tension as Analysts Track CME Levels and Key Long-Term Support,neutral,https://cryptopanic.com/news/27714503/Bitcoin-Faces-Weekend-Tension-as-Analysts-Track-CME-Levels-and-Key-Long-Term-Support?mtm_campaign=API-OFA,06/12/2025,12:42:58
