post,sentiment,url,published_date,published_time
XRP Traders Eye Two Possible Candle Setups as Price Holds Key Support,neutral,https://cryptopanic.com/news/27714451/XRP-Traders-Eye-Two-Possible-Candle-Setups-as-Price-Holds-Key-Support?mtm_campaign=API-OFA,06/12/2025,12:26:32
XRP flashes major buy signal; Is $2.5 next?,neutral,https://cryptopanic.com/news/27713370/XRP-flashes-major-buy-signal-Is-25-next?mtm_campaign=API-OFA,06/12/2025,11:15:51
Is XRP Price Gearing Up for a 20% Rally? Key Levels To Watch,neutral,https://cryptopanic.com/news/27712828/Is-XRP-Price-Gearing-Up-for-a-20-Rally-Key-Levels-To-Watch?mtm_campaign=API-OFA,06/12/2025,11:03:00
"XRP ETFs Hit $1 Billion Milestone, What Comes Next?",neutral,https://cryptopanic.com/news/27712628/XRP-ETFs-Hit-1-Billion-Milestone-What-Comes-Next?mtm_campaign=API-OFA,06/12/2025,10:48:00
XRP Beats Bitcoin in Net ETF Flows,neutral,https://cryptopanic.com/news/27712572/XRP-Beats-Bitcoin-in-Net-ETF-Flows?mtm_campaign=API-OFA,06/12/2025,10:31:44
XRP Bulls Running Out of Time as Charts Flash Warning Signal,neutral,https://cryptopanic.com/news/27711485/XRP-Bulls-Running-Out-of-Time-as-Charts-Flash-Warning-Signal?mtm_campaign=API-OFA,06/12/2025,09:20:24
Ripple (XRP) Holders Reevaluate December Strategy Amid Rising Interest in Next-Gen Remittance Protocols,neutral,https://cryptopanic.com/news/27711452/Ripple-XRP-Holders-Reevaluate-December-Strategy-Amid-Rising-Interest-in-Next-Gen-Remittance-Protocols?mtm_campaign=API-OFA,06/12/2025,09:15:35
Ripple Price Struggles at $2: AI With Worrying XRP Predictions for Week Ahead,neutral,https://cryptopanic.com/news/27709252/Ripple-Price-Struggles-at-2-AI-With-Worrying-XRP-Predictions-for-Week-Ahead?mtm_campaign=API-OFA,06/12/2025,07:29:47
XRP ETFs Extend Inflow Streak to 13 Days as Institutions Keep Buying,neutral,https://cryptopanic.com/news/27708388/XRP-ETFs-Extend-Inflow-Streak-to-13-Days-as-Institutions-Keep-Buying?mtm_campaign=API-OFA,06/12/2025,06:22:40
XRP Faces Critical Support at $1.90 After Sentiment Crash – Here Is How a Breakout Could Trigger Next,neutral,https://cryptopanic.com/news/27708434/XRP-Faces-Critical-Support-at-190-After-Sentiment-Crash-Here-Is-How-a-Breakout-Could-Trigger-Next?mtm_campaign=API-OFA,06/12/2025,06:16:27
$2 XRP May Soon Become No More Than a Dream: Bollinger Bands Warning,neutral,https://cryptopanic.com/news/27708353/2-XRP-May-Soon-Become-No-More-Than-a-Dream-Bollinger-Bands-Warning?mtm_campaign=API-OFA,06/12/2025,06:09:00
XRP Supply Shock: What Experts Say Will Trigger Price Surge,neutral,https://cryptopanic.com/news/27707737/XRP-Supply-Shock-What-Experts-Say-Will-Trigger-Price-Surge?mtm_campaign=API-OFA,06/12/2025,06:00:03
Investor Mood Turns Bearish as XRP Struggles — But Analyst Says Many Will Return Too Late,neutral,https://cryptopanic.com/news/27708384/Investor-Mood-Turns-Bearish-as-XRP-Struggles-But-Analyst-Says-Many-Will-Return-Too-Late?mtm_campaign=API-OFA,06/12/2025,05:50:15
XRP Faces Downside Risk as Social Sentiment Turns Wildly Negative,neutral,https://cryptopanic.com/news/27713439/XRP-Faces-Downside-Risk-as-Social-Sentiment-Turns-Wildly-Negative?mtm_campaign=API-OFA,06/12/2025,04:30:00
XRP Ledger’s Utility Profile Draws Fresh Attention From Ripple Executive,neutral,https://cryptopanic.com/news/27706143/XRP-Ledgers-Utility-Profile-Draws-Fresh-Attention-From-Ripple-Executive?mtm_campaign=API-OFA,06/12/2025,03:05:43
"Bitcoin Price Slides Below $90,000 – Is A Retest Of The November Lows Near?",neutral,https://cryptopanic.com/news/27705906/Bitcoin-Price-Slides-Below-90000-Is-A-Retest-Of-The-November-Lows-Near?mtm_campaign=API-OFA,06/12/2025,03:00:34
XRP Is Only Asset in Green Volume From Top 10,neutral,https://cryptopanic.com/news/27706009/XRP-Is-Only-Asset-in-Green-Volume-From-Top-10?mtm_campaign=API-OFA,06/12/2025,03:00:00
"Crypto Market Prediction: XRP's Last Chance Before $1, Another Bitcoin (BTC) Wave to Set $100,000 in Stone, Shiba Inu (SHIB) Comeback to the Bottom is Possible",neutral,https://cryptopanic.com/news/27703359/Crypto-Market-Prediction-XRPs-Last-Chance-Before-1-Another-Bitcoin-BTC-Wave-to-Set-100000-in-Stone-Shiba-Inu-SHIB-Comeback-to-the-Bottom-is-Possible?mtm_campaign=API-OFA,06/12/2025,00:01:00
XRP Price Prediction: Ripple CEO Says Bitcoin Will Double by 2026 – How High Can XRP Go?,neutral,https://cryptopanic.com/news/27702287/XRP-Price-Prediction-Ripple-CEO-Says-Bitcoin-Will-Double-by-2026-How-High-Can-XRP-Go?mtm_campaign=API-OFA,05/12/2025,23:03:00
"China’s Alibaba AI Predicts the Price of XRP, Cardano, Dogecoin by the End of 2025",neutral,https://cryptopanic.com/news/27701996/Chinas-Alibaba-AI-Predicts-the-Price-of-XRP-Cardano-Dogecoin-by-the-End-of-2025?mtm_campaign=API-OFA,05/12/2025,22:30:00
